Household Income (I),Household Size (S) (persons),Rainfall (R) (mm/day),Temperature (T) (°C),Travel Time (t) (minutes),Amount Spent (A),Willingness To Pay (W),Shortest Distance (d) (meters),Height Difference (h) (meters),,
65000,8,2,29.1,13,480,300,52.33,3,,
65000,8,2,29.1,13,480,300,70.72,4,,
50000,7,2,29.1,8,645,400,67.12,3,,
70000,8,2,29.1,20,360,410,141.82,4,,
80000,7,2,29.1,13,450,500,211.68,8,,
85000,7,2,29.1,13,450,500,221.62,10,,
95000,9,2,29.1,30,330,380,155.08,6,,
75000,7,2,29.1,13,450,500,248.6,11,,
50000,7,2,29.1,13,450,500,260.95,10,,
80000,7,2,29.1,13,405,450,297.67,10,,
45000,6,2,29.1,20,360,410,368.4,15,,
80000,7,2,29.1,38,285,330,315.36,11,,
85000,9,2,29.1,80,165,210,346.99,9,,
100000,7,2,29.1,40,240,290,317.16,10,,
105000,6,2,29.1,40,240,290,409.42,6,,
60000,6,2,29.1,88,210,260,461.86,7,,
105000,9,2,29.1,70,120,170,371.01,12,,
40000,7,2,29.1,40,240,290,398.42,12,,
55000,6,2,29.1,88,210,260,463.79,9,,
55000,7,2,29.1,40,285,330,308.15,12,,
55000,8,2,29.1,88,210,260,337.38,11,,
55000,7,2,29.1,48,240,290,324.49,9,,
55000,9,2,29.1,48,240,290,270.65,7,,
55000,9,2,29.1,40,285,330,180.23,7,,
55000,9,2,29.1,80,165,210,391.76,6,,
75000,7,2,29.1,38,285,330,322.41,6,,
55000,6,2,29.1,20,360,410,337,4,,
85000,9,2,29.1,80,165,210,319.9,3,,
90000,9,2,29.1,42,285,330,253.51,3,,
90000,9,2,29.1,42,285,330,229.11,4,,
90000,7,2,29.1,8,480,300,177.55,5,,
90000,7,2,29.1,8,525,480,106.47,3,,
90000,9,2,29.1,22,360,410,77.01,4,,
105000,7,2,29.1,8,570,280,87.09,0,,
80000,9,2,29.1,48,240,290,202.25,5,,
60000,6,2,29.1,22,360,410,303.64,11,,
100000,6,2,29.1,8,600,450,241.25,11,,
100000,7,2,29.1,8,480,300,116.1,0,,
50000,7,2,29.1,8,480,300,142.04,2,,
70000,8,2,29.1,22,360,410,160.8,5,,
55000,6,2,29.1,8,600,450,169.12,2,,
55000,8,2,29.1,22,360,410,115.69,5,,
80000,7,2,29.1,6,480,300,126.15,3,,
90000,9,2,29.1,38,285,330,213.46,16,,
75000,7,2,29.1,13,480,300,104,3,,
75000,7,2,29.1,13,450,500,212.21,16,,
95000,7,2,29.1,8,525,480,76.69,0,,
55000,6,2,29.1,8,690,500,99.01,0,,
85000,9,2,29.1,38,285,330,260,2,,
70000,8,2,29.1,8,480,300,46.01,4,,
70000,8,2,29.1,22,360,410,105.91,9,,
90000,9,2,29.1,38,285,330,129.99,4,,
50000,6,2,29.1,6,600,450,151.17,2,,
55000,7,2,29.1,6,570,280,78.6,2,,
95000,9,2,29.1,38,285,330,148.5,1,,
80000,7,2,29.1,13,450,500,158.9,6,,
95000,9,2,29.1,48,240,290,208.24,11,,
55000,6,2,29.1,8,720,380,99.41,0,,
40000,7,2,29.1,13,450,500,160.25,0,,
105000,9,2,29.1,48,240,290,220.51,5,,
90000,9,2,29.1,42,285,330,149.91,3,,
40000,7,2,29.1,8,570,280,78.23,1,,
100000,9,2,29.1,13,405,450,47.17,1,,
65000,8,2,29.1,32,330,380,147.96,3,,
65000,8,2,29.1,13,450,500,87.37,5,,
65000,6,2,29.1,8,765,280,89.27,1,,
65000,7,2,29.1,13,405,450,208.89,6,,
65000,9,2,29.1,38,240,290,213.78,4,,
80000,7,2,29.1,22,360,410,229.31,6,,
90000,9,2,29.1,38,285,330,152.74,3,,
95000,9,2,29.1,42,240,290,185.98,2,,
100000,7,2,29.1,13,450,500,143.68,2,,
95000,9,2,29.1,22,360,410,88.51,1,,
95000,6,2,29.1,8,600,450,126.57,1,,
95000,7,2,29.1,13,450,500,295.1,6,,
95000,7,2,29.1,13,450,500,202.06,5,,
100000,7,2,29.1,22,405,450,295.43,7,,
