ID,Household income,Household size,Rainfall,Ave temp dry,Travel time,Shortest distance,Height diff,Volume per day wet,Amount spent,Willingness to pay,tA,Wd,td,t2,A2,W2,d2,t3,A3,W3,d3,t4,A4,W4,d4
86,45000,6,3.32,29.1,40,434.01,4,140,120,170,4800,73781.7,17360.4,1600,14400,28900,188364.6801,64000,1728000,4913000,81752154.81,2560000,207360000,835210000,35481252709
87,60000,6,3.32,29.1,35,491.92,3,140,180,230,6300,113141.6,17217.2,1225,32400,52900,241985.2864,42875,5832000,12167000,119037402.1,1500625,1049760000,2798410000,58556878834
88,85000,9,3.32,29.1,20,422.2,3,200,120,170,2400,71774,8444,400,14400,28900,178252.84,8000,1728000,4913000,75258349.05,160000,207360000,835210000,31774074968
89,45000,6,3.32,29.1,40,349.23,8,140,190,240,7600,83815.2,13969.2,1600,36100,57600,121961.5929,64000,6859000,13824000,42592647.09,2560000,1303210000,3317760000,14874630143
90,45000,6,3.32,29.1,40,326.96,10,140,120,170,4800,55583.2,13078.4,1600,14400,28900,106902.8416,64000,1728000,4913000,34952953.09,2560000,207360000,835210000,11428217542
91,45000,7,3.32,29.1,50,297.43,7,120,165,210,8250,62460.3,14871.5,2500,27225,44100,88464.6049,125000,4492125,9261000,26312027.44,6250000,741200625,1944810000,7825986320
92,45000,7,3.32,29.1,60,345.24,11,100,165,210,9900,72500.4,20714.4,3600,27225,44100,119190.6576,216000,4492125,9261000,41149382.63,12960000,741200625,1944810000,14206412859
93,45000,9,3.32,29.1,20,318.68,10,200,100,150,2000,47802,6373.6,400,10000,22500,101556.9424,8000,1000000,3375000,32364166.4,160000,100000000,506250000,10313812550
94,45000,9,3.32,29.1,20,292.31,9,200,165,210,3300,61385.1,5846.2,400,27225,44100,85445.1361,8000,4492125,9261000,24976467.73,160000,741200625,1944810000,7300871283
95,45000,9,3.32,29.1,20,320.98,10,200,120,170,2400,54566.6,6419.6,400,14400,28900,103028.1604,8000,1728000,4913000,33069978.93,160000,207360000,835210000,10614801835
96,45000,6,3.32,29.1,20,359.9,16,220,165,210,3300,75579,7198,400,27225,44100,129528.01,8000,4492125,9261000,46617130.8,160000,741200625,1944810000,16777505375
