ID,Household income,Household size,Rainfall,Ave temp wet,LST wet,Travel time,Shortest distance,Height diff,Volume per day wet,Amount spent,Willingness to pay
242,105000,9,306.69,28.4,37.34,20,367.9,14,200,285,330
243,95000,9,306.69,28.4,36.44,20,369.86,18,200,285,330
244,100000,6,306.69,28.4,36.7,20,438.77,15,200,270,320
245,90000,9,306.69,28.4,36.44,20,446.23,0,200,165,210
246,70000,8,306.69,28.4,36.67,40,378.76,2,160,165,210
247,100000,5,306.69,28.4,37.56,20,462.39,22,220,320,370
248,60000,6,306.69,28.4,38.01,40,421.35,19,140,120,170
249,100000,7,306.69,28.4,38.29,20,463.04,23,220,210,260
250,45000,6,306.69,28.4,37.88,40,473.06,18,140,120,170
251,70000,9,306.69,28.4,37.7,20,544.23,22,220,410,460
252,45000,6,306.69,28.4,37.35,40,527.8,19,140,120,170
253,95000,9,306.69,28.4,36.3,20,374.88,2,200,120,170
254,65000,8,306.69,28.4,36.12,40,365,0,160,120,170
255,90000,9,306.69,28.4,36.09,20,440.65,3,200,120,170
256,90000,9,306.69,28.4,36.27,20,509.4,3,200,120,170
257,90000,7,306.69,28.4,36.83,30,578.28,8,180,120,170
258,90000,9,306.69,28.4,36.4,35,598.07,3,200,120,170
259,90000,8,306.69,28.4,37.4,40,541.94,28,160,120,170
260,90000,9,306.69,28.4,35.8,20,537.82,9,200,120,170
261,70000,8,306.69,28.4,36.3,40,419.44,13,160,90,140
262,60000,8,306.69,28.4,35.92,40,467.74,27,160,90,140
263,65000,8,306.69,28.4,36.17,45,465.28,30,160,90,140
264,80000,7,306.69,28.4,36.71,30,496.23,28,180,90,140
265,55000,6,306.69,28.4,35.67,40,578.36,35,140,90,140
266,80000,7,306.69,28.4,35.82,30,578.02,21,180,90,140
267,80000,9,306.69,28.4,36.56,20,548.89,15,200,90,140
268,80000,6,306.69,28.4,36.67,40,569.17,13,140,90,140
269,80000,6,306.69,28.4,36.31,20,405.76,11,200,120,170
270,80000,7,306.69,28.4,36.03,30,380.87,10,180,120,170
271,65000,8,306.69,28.4,36.34,40,351.37,6,160,120,170
272,45000,6,306.69,28.4,36.19,40,405.94,8,140,165,210
273,50000,7,306.69,28.4,35.29,50,431,9,120,165,210
274,40000,7,306.69,28.4,36.24,60,414.42,8,100,165,210
275,85000,9,306.69,28.4,36.35,20,430.59,8,200,165,210
276,105000,9,306.69,28.4,35.94,20,475.84,10,220,165,210
277,75000,7,306.69,28.4,35.65,30,509.01,6,180,120,170
278,85000,9,306.69,28.4,36.34,20,576.85,4,200,120,170
279,65000,8,306.69,28.4,37,40,606.85,36,160,120,170
280,70000,8,306.69,28.4,36.66,40,597.34,1,160,120,170
281,55000,6,306.69,28.4,36.84,40,588.59,37,140,120,170
282,55000,7,306.69,28.4,37.16,30,534.18,31,180,120,170
283,55000,6,306.69,28.4,37.4,20,353.01,5,200,165,210
284,55000,9,306.69,28.4,36.93,20,469.66,21,200,165,210
285,55000,7,306.69,28.4,36.65,60,393.91,12,100,165,210
286,55000,9,306.69,28.4,37.04,20,317.62,11,200,165,210
287,55000,9,306.69,28.4,37.81,20,223.62,10,200,210,260
288,70000,8,306.69,28.4,37.46,40,178.75,11,160,240,290
289,100000,6,306.69,28.4,36.45,20,242.92,14,220,480,300
290,40000,7,306.69,28.4,36.98,60,47.76,2,100,570,280
291,60000,6,306.69,28.4,36.54,40,131.19,12,140,450,500
292,75000,7,306.69,28.4,36.97,30,145.66,10,180,330,380
293,90000,9,306.69,28.4,36.93,20,188.32,20,200,165,210
294,60000,6,306.69,28.4,37.63,40,284.86,16,140,480,300
295,105000,9,306.69,28.4,36.87,20,458.75,30,200,480,300
296,40000,7,306.69,28.4,36.49,60,564.72,38,100,480,300
297,85000,9,306.69,28.4,37.21,20,489.34,35,200,480,300
298,45000,6,306.69,28.4,37.74,35,409.46,27,140,210,260
299,65000,7,306.69,28.4,36.71,30,525.76,23,180,210,260
300,45000,6,306.69,28.4,36.85,40,429.38,9,140,210,260
301,100000,7,306.69,28.4,39.09,20,192.46,2,220,165,210
302,100000,8,306.69,28.4,39.07,40,222.27,3,160,210,260
303,100000,6,306.69,28.4,38.99,40,264.75,4,140,360,410
304,100000,7,306.69,28.4,39.06,50,283.44,4,120,240,290
305,100000,7,306.69,28.4,39.15,30,269.03,4,180,240,290
306,100000,9,306.69,28.4,39.17,20,239.04,4,200,210,260
307,100000,6,306.69,28.4,39.32,40,179.36,3,140,525,480
308,70000,8,306.69,28.4,39.33,35,147.41,3,160,330,380
309,65000,8,306.69,28.4,39.34,40,183.85,3,160,285,330
310,105000,7,306.69,28.4,39.51,20,216.09,4,200,360,410
311,100000,6,306.69,28.4,39.35,20,114.04,2,200,450,500
312,65000,8,306.69,28.4,39.31,40,73.16,1,160,450,500
313,70000,8,306.69,28.4,39.38,40,114.74,2,160,240,290
314,90000,9,306.69,28.4,39.52,20,152.21,4,200,210,260
315,70000,8,306.69,28.4,39.92,40,208.63,4,160,120,170
316,90000,9,306.69,28.4,39.89,20,147.33,3,220,240,290
317,45000,6,306.69,28.4,39.48,40,57.28,2,140,765,280
318,60000,6,306.69,28.4,40.25,40,110.26,1,140,450,500
319,40000,7,306.69,28.4,40.23,60,154.15,3,100,405,450
320,40000,7,306.69,28.4,40.23,60,196.76,4,100,405,450
321,105000,6,306.69,28.4,40.54,20,190.08,4,200,525,480
322,100000,5,306.69,28.4,40.39,40,183.97,0,160,840,550
323,100000,9,306.69,28.4,40.19,20,60,1,200,360,410
324,100000,6,306.69,28.4,39.98,40,164.91,3,140,525,480
325,100000,6,306.69,28.4,39.98,40,193.76,3,140,210,260
326,100000,9,306.69,28.4,40.49,20,229.71,3,200,210,260
327,100000,8,306.69,28.4,40.56,40,244.77,5,160,210,260
328,100000,7,306.69,28.4,40.47,30,280.49,5,180,210,260
329,45000,9,306.69,28.4,40.2,20,226.08,0,200,210,260
330,60000,6,306.69,28.4,39.69,40,208.21,3,140,210,260
331,80000,7,306.69,28.4,39.98,30,227.73,4,180,120,170
332,105000,7,306.69,28.4,40.27,20,263.29,2,200,120,170
333,70000,8,306.69,28.4,40.22,40,295.58,7,160,120,170
334,75000,7,306.69,28.4,39.66,30,258.31,8,180,120,170
335,75000,7,306.69,28.4,40.18,30,217.61,6,180,120,170
336,75000,7,306.69,28.4,39.79,30,112.01,5,180,330,380
337,60000,6,306.69,28.4,39.25,40,106.78,3,140,450,500
338,65000,8,306.69,28.4,39.25,40,62.43,2,160,285,330
339,50000,7,306.69,28.4,39.74,50,68.25,3,120,405,450
340,50000,8,306.69,28.4,40.02,35,117.72,4,160,285,330
341,50000,6,306.69,28.4,39.99,40,150.76,4,140,450,500
342,50000,7,306.69,28.4,39.73,30,187.24,4,180,285,330
343,50000,9,306.69,28.4,39.69,20,196.98,1,200,165,210
344,50000,8,306.69,28.4,39.86,40,151.79,4,160,240,290
345,50000,6,306.69,28.4,39.53,40,52.17,2,140,525,480
346,50000,7,306.69,28.4,39.52,30,109.81,1,180,330,380
347,50000,8,306.69,28.4,39.41,40,145.99,3,160,240,290
348,70000,7,306.69,28.4,39.31,30,97.02,2,180,360,410
349,75000,7,306.69,28.4,39.4,30,76.22,0,180,360,410
350,90000,9,306.69,28.4,39.19,50,71.81,2,200,240,290
351,70000,8,306.69,28.4,39.08,40,61.2,1,160,285,330
352,75000,7,306.69,28.4,39,30,125.25,2,180,330,380
353,100000,6,306.69,28.4,39.07,20,293.9,5,220,120,170
354,70000,8,306.69,28.4,38.96,35,340.3,5,160,120,170
355,80000,9,306.69,28.4,39.24,20,267.37,4,200,120,170
356,95000,9,306.69,28.4,39.11,20,296.45,5,200,120,170
357,90000,9,306.69,28.4,39.14,20,328.4,6,200,120,170
358,40000,7,306.69,28.4,39.52,60,271.15,4,100,120,170
359,55000,6,306.69,28.4,39.9,40,260.71,4,140,120,170
