ID,Household income,Household size,Rainfall,Ave temp dry,Travel time,Shortest distance,Height diff,Volume per day wet,Amount spent,Willingness to pay,tA,Wd,td,t2,A2,W2,d2
140,95000,6,3.32,29.1,40,45.88,0,140,480,300,19200,13764,1835.2,1600,230400,90000,2104.9744
141,95000,7,3.32,29.1,30,93.91,3,180,360,410,10800,38503.1,2817.3,900,129600,168100,8819.0881
142,75000,9,3.32,29.1,20,10.77,0,200,280,330,5600,3554.1,215.4,400,78400,108900,115.9929
143,95000,9,3.32,29.1,20,60.44,2,200,285,330,5700,19945.2,1208.8,400,81225,108900,3652.9936
144,60000,6,3.32,29.1,40,35.44,1,140,720,380,28800,13467.2,1417.6,1600,518400,144400,1255.9936
145,75000,7,3.32,29.1,30,59.51,0,180,450,500,13500,29755,1785.3,900,202500,250000,3541.4401
146,40000,7,3.32,29.1,60,99.76,1,100,180,230,10800,22944.8,5985.6,3600,32400,52900,9952.0576
147,65000,8,3.32,29.1,40,89.47,2,160,285,330,11400,29525.1,3578.8,1600,81225,108900,8004.8809
148,85000,9,3.32,29.1,20,57.71,1,200,300,350,6000,20198.5,1154.2,400,90000,122500,3330.4441
149,40000,7,3.32,29.1,60,229.59,8,100,120,170,7200,39030.3,13775.4,3600,14400,28900,52711.5681
150,45000,6,3.32,29.1,40,36.36,1,140,645,400,25800,14544,1454.4,1600,416025,160000,1322.0496
151,65000,8,3.32,29.1,35,129.4,5,160,285,330,9975,42702,4529,1225,81225,108900,16744.36
152,40000,7,3.32,29.1,60,121.5,4,100,360,410,21600,49815,7290,3600,129600,168100,14762.25
153,40000,9,3.32,29.1,20,177.72,4,200,210,260,4200,46207.2,3554.4,400,44100,67600,31584.3984
154,40000,8,3.32,29.1,40,230.65,7,160,380,430,15200,99179.5,9226,1600,144400,184900,53199.4225
155,40000,7,3.32,29.1,30,294.54,6,180,210,260,6300,76580.4,8836.2,900,44100,67600,86753.8116
156,40000,7,3.32,29.1,20,178.72,2,200,210,260,4200,46467.2,3574.4,400,44100,67600,31940.8384
157,40000,8,3.32,29.1,40,196.02,9,160,380,430,15200,84288.6,7840.8,1600,144400,184900,38423.8404
158,90000,9,3.32,29.1,20,224.45,11,200,210,260,4200,58357,4489,400,44100,67600,50377.8025
159,105000,9,3.32,29.1,20,215.2,11,220,180,230,3600,49496,4304,400,32400,52900,46311.04
160,70000,8,3.32,29.1,40,210.11,5,160,210,260,8400,54628.6,8404.4,1600,44100,67600,44146.2121
161,70000,6,3.32,29.1,35,250.91,6,140,210,260,7350,65236.6,8781.85,1225,44100,67600,62955.8281
162,70000,8,3.32,29.1,40,332.63,7,160,180,230,7200,76504.9,13305.2,1600,32400,52900,110642.7169
163,70000,9,3.32,29.1,20,389.28,1,200,210,260,4200,101212.8,7785.6,400,44100,67600,151538.9184
164,70000,6,3.32,29.1,20,448.99,3,220,370,420,7400,188575.8,8979.8,400,136900,176400,201592.0201
165,105000,7,3.32,29.1,30,338.76,10,180,210,260,6300,88077.6,10162.8,900,44100,67600,114758.3376
166,40000,7,3.32,29.1,50,305.81,18,100,210,260,10500,79510.6,15290.5,2500,44100,67600,93519.7561
167,100000,6,3.32,29.1,20,308.01,18,220,320,370,6400,113963.7,6160.2,400,102400,136900,94870.1601
168,40000,7,3.32,29.1,60,400.05,22,100,210,260,12600,104013,24003,3600,44100,67600,160040.0025
169,50000,7,3.32,29.1,50,420.33,23,120,140,190,7000,79862.7,21016.5,2500,19600,36100,176677.3089
170,55000,6,3.32,29.1,40,378.8,18,140,210,260,8400,98488,15152,1600,44100,67600,143489.44
171,70000,8,3.32,29.1,35,426.9,11,160,210,260,7350,110994,14941.5,1225,44100,67600,182243.61
172,50000,7,3.32,29.1,60,473.33,10,100,180,230,10800,108865.9,28399.8,3600,32400,52900,224041.2889
